root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;1;0;1;0;0;1;0;0;0;0;1;1;0;64;1;16;15.948800;547.000000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;32;1;32;14.391800;542.600000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;64;1;32;14.386000;556.200000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;16;1;64;27.352400;787.800000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;32;1;64;14.357400;527.600000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;64;1;64;14.352800;563.000000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;8;1;128;24.801600;752.000000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;16;1;128;24.768200;766.800000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;32;1;128;26.936000;808.800000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;64;1;128;13.963200;525.000000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;8;1;256;26.738200;812.400000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;16;1;256;14.128600;544.800000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;32;1;256;26.782000;819.600000
1;1;0;1;0;0;1;0;0;0;0;1;1;0;64;1;256;27.220400;825.800000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;64;1;16;12.851800;305.400000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;32;1;32;6.980800;192.600000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;64;1;32;7.652600;214.600000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;16;1;64;4.419400;137.000000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;32;1;64;4.397800;158.600000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;64;1;64;4.411400;168.200000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;8;1;128;4.401600;147.200000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;16;1;128;4.528400;176.600000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;32;1;128;5.151600;165.200000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;64;1;128;4.403200;141.000000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;8;1;256;4.625800;149.200000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;16;1;256;4.873800;155.200000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;32;1;256;7.792800;211.400000
1;1;0;1;0;1;0;0;0;0;0;1;0;1;64;1;256;5.074000;159.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;64;1;16;15.480600;543.400000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;32;1;32;15.097800;512.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;64;1;32;14.723600;479.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;16;1;64;7.256600;331.400000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;32;1;64;7.017400;350.400000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;64;1;64;6.649000;333.400000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;8;1;128;10.925000;430.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;16;1;128;14.675200;514.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;32;1;128;5.991800;283.200000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;64;1;128;6.125600;305.600000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;8;1;256;9.796800;394.000000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;16;1;256;10.231200;413.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;32;1;256;11.480600;414.800000
1;1;0;1;0;1;1;0;0;0;0;1;0;1;64;1;256;13.004400;458.200000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;64;1;16;3.161200;108.400000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;32;1;32;2.913200;115.800000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;64;1;32;3.686800;150.400000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;16;1;64;2.790000;96.800000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;32;1;64;2.796000;99.600000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;64;1;64;2.694000;101.800000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;8;1;128;2.834200;104.000000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;16;1;128;2.678200;101.600000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;32;1;128;2.811200;108.800000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;64;1;128;2.797200;100.800000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;8;1;256;2.731200;97.200000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;16;1;256;2.840800;105.800000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;32;1;256;2.830000;107.000000
1;1;0;1;1;0;0;0;0;0;0;1;0;1;64;1;256;2.804600;102.000000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;64;1;16;2.728600;110.000000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;32;1;32;2.646400;101.200000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;64;1;32;2.812000;116.600000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;16;1;64;2.749200;113.800000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;32;1;64;2.741600;90.600000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;64;1;64;2.717800;107.800000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;8;1;128;2.813600;98.600000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;16;1;128;2.922800;121.400000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;32;1;128;2.918800;86.800000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;64;1;128;2.736400;94.800000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;8;1;256;2.687000;100.000000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;16;1;256;2.793400;101.200000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;32;1;256;2.714400;104.800000
1;1;0;1;1;0;0;0;0;0;0;1;1;0;64;1;256;2.855800;89.600000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;64;1;16;27.044000;787.600000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;32;1;32;27.184600;817.200000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;64;1;32;13.710600;532.600000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;16;1;64;14.305200;554.600000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;32;1;64;14.389000;513.600000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;64;1;64;14.153200;512.000000
1;1;0;1;1;0;1;0;0;0;0;1;0;1;8;1;128;14.336400;556.800000
